id,full_name,owner_name,repo_name,html_url,created_at,updated_at,repo_duration_in_days,repo_duration_in_months,size_in_kb,stars,open_issues,tags,contributors,error_message,nb_services,nb_containers
40968174,vegasbrianc/prometheus,vegasbrianc,prometheus,https://github.com/vegasbrianc/prometheus,2015-08-18T11:28:35Z,2020-12-12T07:49:28Z,1943,63,3133,2900,0,0,33,,5,5
121548703,Zappelphilipp/docker-graylog-kibana-nginx-stack,Zappelphilipp,docker-graylog-kibana-nginx-stack,https://github.com/Zappelphilipp/docker-graylog-kibana-nginx-stack,2018-02-14T18:56:28Z,2018-07-22T16:03:38Z,1032,33,23,2,1,0,1,,5,5
258575376,joelanman/e-petitions,joelanman,e-petitions,https://github.com/joelanman/e-petitions,2020-04-24T17:13:48Z,2020-04-24T17:16:06Z,232,7,7971,0,0,85,38,,7,7
81908868,Semprini/cbe-utilities,Semprini,cbe-utilities,https://github.com/Semprini/cbe-utilities,2017-02-14T05:32:40Z,2019-03-25T09:17:05Z,1397,45,64,1,0,0,2,,5,5
11630785,pjuu/pjuu,pjuu,pjuu,https://github.com/pjuu/pjuu,2013-07-24T09:09:59Z,2020-10-30T22:18:40Z,2698,88,5192,55,22,0,7,,5,5
19327261,blacktop/docker-bro,blacktop,docker-bro,https://github.com/blacktop/docker-bro,2014-04-30T21:06:00Z,2020-12-06T09:50:32Z,2417,79,79787,125,2,0,3,,3,3
4726428,miso-lims/miso-lims,miso-lims,miso-lims,https://github.com/miso-lims/miso-lims,2012-06-20T13:17:28Z,2020-12-04T11:02:44Z,3097,101,128907,123,13,431,13,,4,4
5169716,Screenly/screenly-ose,Screenly,screenly-ose,https://github.com/Screenly/screenly-ose,2012-07-24T18:48:50Z,2020-12-09T13:56:33Z,3063,100,19081,1123,48,16,49,,5,5
,hamburml/docker-flow-letsencrypt,hamburml,docker-flow-letsencrypt,https://github.com/hamburml/docker-flow-letsencrypt,,,,,,,,,,,3,4
,LaVestima/hanna-agency,LaVestima,hanna-agency,https://github.com/LaVestima/hanna-agency,,,,,,,,,,,6,6
,ucan-lab/docker-laravel,ucan-lab,docker-laravel,https://github.com/ucan-lab/docker-laravel,,,,,,,,,,,3,3
,FedorSelitsky/eventrack,FedorSelitsky,eventrack,https://github.com/FedorSelitsky/eventrack,,,,,,,,,,,5,5
,MassDistributionMedia/rc-ca-blinds,MassDistributionMedia,rc-ca-blinds,https://github.com/MassDistributionMedia/rc-ca-blinds,,,,,,,,,,,3,3
,stencila/hub,stencila,hub,https://github.com/stencila/hub,,,,,,,,,,,11,11
,dockerwest/compose-magento,dockerwest,compose-magento,https://github.com/dockerwest/compose-magento,,,,,,,,,,,6,6
,dotnet-architecture/eShopModernizing,dotnet-architecture,eShopModernizing,https://github.com/dotnet-architecture/eShopModernizing,,,,,,,,,,,4,4
,sameersbn/docker-gitlab,sameersbn,docker-gitlab,https://github.com/sameersbn/docker-gitlab,,,,,,,,,,,4,4
,hcxp/hcxp,hcxp,hcxp,https://github.com/hcxp/hcxp,,,,,,,,,,,6,6
,changami/froghouse-lightning-talk-docker,changami,froghouse-lightning-talk-docker,https://github.com/changami/froghouse-lightning-talk-docker,,,,,,,,,,,3,3
,Hygieia/Hygieia,Hygieia,Hygieia,https://github.com/Hygieia/Hygieia,,,,,,,,,,,4,4
,bartTC/dpaste,bartTC,dpaste,https://github.com/bartTC/dpaste,,,,,,,,,,,3,3
,znly/docker-druid,znly,docker-druid,https://github.com/znly/docker-druid,,,,,,,,,,,7,7
,benjefferies/gogo-garage-opener,benjefferies,gogo-garage-opener,https://github.com/benjefferies/gogo-garage-opener,,,,,,,,,,,3,3
,Merrick28/delain,Merrick28,delain,https://github.com/Merrick28/delain,,,,,,,,,,,2,2
,Djacket/djacket,Djacket,djacket,https://github.com/Djacket/djacket,,,,,,,,,,,3,3
,p6spy/p6spy,p6spy,p6spy,https://github.com/p6spy/p6spy,,,,,,,,,,,5,5
,memodir/cv,memodir,cv,https://github.com/memodir/cv,,,,,,,,,,,3,3
,jfrog/artifactory-docker-examples,jfrog,artifactory-docker-examples,https://github.com/jfrog/artifactory-docker-examples,,,,,,,,,,,2,2
,zentby/dockerspace,zentby,dockerspace,https://github.com/zentby/dockerspace,,,,,,,,,,,3,3
,zengoma/docker-magento2-apache-dev,zengoma,docker-magento2-apache-dev,https://github.com/zengoma/docker-magento2-apache-dev,,,,,,,,,,,2,2
,envato/double_entry,envato,double_entry,https://github.com/envato/double_entry,,,,,,,,,,,3,3
,camd67/moebot,camd67,moebot,https://github.com/camd67/moebot,,,,,,,,,,,3,3
